"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Tipus_Propulsio","Nombre"
2025,"02","Eixample","05","el Fort Pienc","009","Combustió Interna-Gasolina",547
2025,"02","Eixample","05","el Fort Pienc","009","Combustió Interna-Gasoil",221
2025,"02","Eixample","05","el Fort Pienc","009","Elèctrica",7
2025,"02","Eixample","05","el Fort Pienc","009","Híbrid",51
2025,"02","Eixample","05","el Fort Pienc","009","Altres",8
2025,"02","Eixample","05","el Fort Pienc","009","No consta",2
2025,"02","Eixample","05","el Fort Pienc","010","Combustió Interna-Gasolina",358
2025,"02","Eixample","05","el Fort Pienc","010","Combustió Interna-Gasoil",123
2025,"02","Eixample","05","el Fort Pienc","010","Elèctrica",5
2025,"02","Eixample","05","el Fort Pienc","010","Híbrid",37
